name,category,subcategory,niche,city,lat,lon,rating,price_level,has_website,has_phone,opening_hours,cuisine,address,osm_class,osm_type,importance,description
Boulangerie Agadir,bakery,bakery,casual,Rabat ⵔⴱⴰⵟ الرباط,34.0202157,-6.8252873,3.5,2,False,False,,,Rue Moulay Idriss Al Akbar زنقة مولاي إدريس الأكبر,shop,bakery,7.628976882577275e-05,"Boulangerie Agadir - casual bakery in Rabat ⵔⴱⴰⵟ الرباط, rated 3.5/5"
Pharmacy Propharma,pharmacy,pharmacy,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4278178,-9.5793755,3.5,2,False,False,,,Boulevard El Haj Lahbib,amenity,pharmacy,6.326009002818368e-05,"Pharmacy Propharma - casual pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Pharmacie Agadir صيدلية أكادير,pharmacy,pharmacy,casual,Fès ⴼⴰⵙ فاس,34.0637440,-5.0097890,3.5,2,False,False,,,Avenue Tariq Ben Ziad,amenity,pharmacy,6.616083009074567e-05,"Pharmacie Agadir صيدلية أكادير - casual pharmacy in Fès ⴼⴰⵙ فاس, rated 3.5/5"
صيدلية الهعد,pharmacy,pharmacy,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4601620,-9.6371979,3.5,2,False,False,Mo-Sa 08:00-20:00,,شارع بني يزناسن,amenity,pharmacy,6.326009002818368e-05,"صيدلية الهعد - casual pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, has opening hours, rated 3.5/5"
Pharmacie Marjane Agadir صيدلية مرجان أكادير,pharmacy,pharmacy,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.3937761,-9.5813813,3.5,2,False,False,,,Boulevard Mohammed VI شارع محمد الخامس,amenity,pharmacy,6.326009002818368e-05,"Pharmacie Marjane Agadir صيدلية مرجان أكادير - casual pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Pharmacie Agadir Oufella صيدلية أكادير أوفلا,pharmacy,pharmacy,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4244851,-9.6114672,3.5,2,False,False,,,Boulevard Mohammed V شارع محمد الخامس,amenity,pharmacy,6.326009002818368e-05,"Pharmacie Agadir Oufella صيدلية أكادير أوفلا - casual pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Pharmacie Marina Agadir صيدلية مارينا أكادير,pharmacy,pharmacy,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4237022,-9.6182405,3.5,2,False,False,,,Rue Tawada,amenity,pharmacy,6.326009002818368e-05,"Pharmacie Marina Agadir صيدلية مارينا أكادير - casual pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Pharmacie Agadir Bay صيدلية أكادير باي,pharmacy,pharmacy,casual,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4010683,-9.5847458,3.5,2,False,False,,,Boulevard Mohammed VI شارع محمد الخامس,amenity,pharmacy,6.326009002818368e-05,"Pharmacie Agadir Bay صيدلية أكادير باي - casual pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Grande Pharmacie d'Agadir الصيدلية الكبرى لأكادير,pharmacy,pharmacy,luxury,Agadir ⴰⴳⴰⴷⵉⵔ أكادير,30.4205999,-9.5971631,3.5,3,False,False,,,Avenue Prince Moulay Abdellah,amenity,pharmacy,6.326009002818368e-05,"Grande Pharmacie d'Agadir الصيدلية الكبرى لأكادير - luxury pharmacy in Agadir ⴰⴳⴰⴷⵉⵔ أكادير, rated 3.5/5"
Pharmacie Agadir صيدلية أكادير,pharmacy,pharmacy,casual,Ouled Teima ⴰⵡⵍⴰⴷ ⵜⴰⵢⵎⴰ أولاد تايمة,30.3937106,-9.2111737,3.5,2,False,False,,,RR114,amenity,pharmacy,5.116121156629309e-05,"Pharmacie Agadir صيدلية أكادير - casual pharmacy in Ouled Teima ⴰⵡⵍⴰⴷ ⵜⴰⵢⵎⴰ أولاد تايمة, rated 3.5/5"
